,mean_test_score,std_test_score,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score
0,0.03245622075363739,0.027096859976706494,0.052909999026461096,0.034423681255732586,0.05036531232041519,-0.02022792213056035,0.04481003329613842
1,0.5464588503286659,0.015929897747007815,0.5545869951728055,0.544745230194181,0.543135184789386,0.5205825604960947,0.5692442809908627
2,0.5776918725495964,0.014815429099933448,0.5724409725350668,0.5961099284610787,0.5769476402470819,0.5534115208374161,0.5895493006673382
3,0.5837293630891107,0.015279529457422886,0.5845753959312887,0.5978074580615094,0.5907312490875396,0.5543406930441982,0.5911920193210174
4,0.585612754320981,0.01583875511619147,0.5853106203958646,0.5996232046669032,0.5900206346996295,0.5556450993539999,0.5974642124885081
5,0.5860684611630451,0.013538216144296119,0.5822971356412951,0.5992464640066836,0.5927844629628611,0.5613719366692773,0.5946423065351083
6,0.5847399715717779,0.01280742716617596,0.5814552269401383,0.5966825923683947,0.5926791414227817,0.5611775396911189,0.5917053574364561
7,0.5867131077570755,0.013503817319738778,0.5841817428711975,0.598219280850671,0.5971526390087107,0.5615864133508115,0.5924254627039867
8,0.586116121310468,0.013595751809337803,0.5824482488403947,0.5988156066039392,0.5954719643004243,0.5612234912537517,0.5926212955538299
9,0.5860226870201395,0.013482484325930208,0.5843972810694875,0.5968513011877348,0.5941663273105657,0.5604346147513313,0.5942639107815783
10,0.5851416810956424,0.015845036098813194,0.5788116629412482,0.5989820225079174,0.5961280770108661,0.5567630253884104,0.5950236176297694
11,0.5837790043324345,0.016160238331678973,0.577283136901389,0.5982948819350065,0.5937536171062224,0.554888686664512,0.5946746990550428
12,0.5824580855196515,0.013692350763316475,0.5768817360234244,0.5950592831838167,0.5899476452989687,0.5580823394624322,0.5923194236296153
13,0.5829575371530724,0.014641503637413516,0.5778699176087501,0.5957184718407607,0.5908806428245414,0.5564678441600923,0.5938508093312174
14,0.5825157545095678,0.014603722697337314,0.5756940431162911,0.5943160758488029,0.5937954495375004,0.5567632866020485,0.5920099174431961
15,0.5820956287445787,0.01480175045187465,0.5765762526312652,0.5940411092061164,0.5922262612708127,0.5553428376815399,0.5922916829331589
16,0.5833916229304578,0.015487070093189668,0.5770914095976172,0.5981214663507355,0.5943606326314061,0.5558862234776931,0.5914983825948368
17,0.5817772129524498,0.014742056363352844,0.5743796678142947,0.5955277643749355,0.590110888858858,0.5561918829357898,0.5926758607783704
18,0.5812425419210818,0.015548298379469395,0.5746116863109265,0.595164401417532,0.5914671467089179,0.5536032562088258,0.591366218959207
19,0.5801136057545883,0.01529777050880812,0.5712114478541528,0.5946584243957926,0.5896634589967045,0.5541774631227586,0.5908572344035325
20,0.5789485109596475,0.014540059620123471,0.5708898766600398,0.5924026576953577,0.5868982939505634,0.5541256082478878,0.5904261182443888
21,0.5800793839032906,0.015193638467422757,0.5710066180098943,0.5931500887949979,0.5893158064430095,0.5543809403605571,0.5925434659079942
22,0.5806582928028059,0.015396647911225657,0.5713157516037635,0.5928824615415971,0.5916621081482083,0.5545964220213226,0.5928347206991373
23,0.580417391699408,0.015319912488768175,0.571674582672677,0.5922791458169425,0.5913489318031585,0.5541807717861529,0.5926035264181085
24,0.5805976917736716,0.014277748241372335,0.5733972973927921,0.5923227756441191,0.5900023480768841,0.5556818865185438,0.5915841512360196
25,0.5808604528485068,0.01439365398691906,0.5730436247513147,0.5937992516302345,0.5898093384145622,0.5561008320847028,0.5915492173617196
26,0.5805870688075407,0.014644907913769694,0.5717131045034438,0.5948096630305828,0.5894863947610544,0.5559897242178637,0.5909364575247589
27,0.5816139479230913,0.014575169239968436,0.5729285691987476,0.5932857690475911,0.5921273328517365,0.5568521402951256,0.5928759282222557
28,0.5809538660976072,0.014354873176862699,0.5732325415352904,0.59386920377671,0.5889916043364547,0.5562860893939665,0.5923898914456143
29,0.5804369958729224,0.014977429055195049,0.5722623869679195,0.5931850985926602,0.5915850692210747,0.5546260705732375,0.5905263540097203
30,0.5806797860406953,0.013352602331964721,0.5714133324858914,0.5915735750068674,0.5903151530727959,0.5587595795085534,0.5913372901293678
31,0.5810304069313675,0.014093309255223096,0.5700873903757984,0.5931669711705434,0.5927984359633579,0.5586818322885392,0.5904174048585987
32,0.5815314432796538,0.014689524957965019,0.5712766030142857,0.5963409660015281,0.5919727413465171,0.5577091370432377,0.5903577689927003
33,0.5820810502221528,0.013588217289675396,0.5739044362141019,0.5938318386644077,0.5927584077500684,0.5591012444642208,0.590809324017965
34,0.5812247081152505,0.013387524957812674,0.5733782743001865,0.5943043291936791,0.5895099369649834,0.5585993835345653,0.5903316165828385
35,0.5805375137347351,0.013687815430811054,0.5714856665319575,0.5920573121914092,0.5923433221613494,0.5578943038683175,0.5889069639206418
36,0.5800140055448086,0.01372031050064746,0.5716476572035338,0.5945578101726231,0.5896234384893351,0.5572416761216199,0.586999445736931
37,0.5796072853408016,0.013370604818889725,0.5705368303131821,0.5920959598674479,0.5895335659341183,0.5576370561388807,0.5882330144503796
38,0.5792831075203472,0.012918878257702993,0.5719474454866611,0.5925639342310891,0.5876558177645512,0.5574324762562493,0.586815863863185
39,0.5786821682304882,0.01262018069291984,0.5701161728782852,0.5899120827440589,0.587873130359543,0.5578867307936622,0.5876227243768921
40,0.5789628677180261,0.01348136999133334,0.5701135222112765,0.5903961498773388,0.5908329309985307,0.556663569186441,0.586808166316543
41,0.5784952257560197,0.01364000057513234,0.570193480882567,0.5921850191076943,0.5887976942726447,0.5557388698949922,0.5855610646222006
